filename,damageClass,source,generatorVersion,captureDevice,collectedAt,width,height,annotator
synthetic/SAFE/SAFE_synthetic_v1.0.0_0000.jpg,SAFE,synthetic,v1.0.0,,2026-08-01T06:48:32.883646+00:00,320,320,
synthetic/SAFE/SAFE_synthetic_v1.0.0_0001.jpg,SAFE,synthetic,v1.0.0,,2026-08-01T06:48:32.908251+00:00,320,320,
synthetic/SAFE/SAFE_synthetic_v1.0.0_0002.jpg,SAFE,synthetic,v1.0.0,,2026-08-01T06:48:32.934106+00:00,320,320,
synthetic/SAFE/SAFE_synthetic_v1.0.0_0003.jpg,SAFE,synthetic,v1.0.0,,2026-08-01T06:48:32.957272+00:00,320,320,
synthetic/SAFE/SAFE_synthetic_v1.0.0_0004.jpg,SAFE,synthetic,v1.0.0,,2026-08-01T06:48:32.978725+00:00,320,320,
synthetic/TORN/TORN_synthetic_v1.0.0_0000.jpg,TORN,synthetic,v1.0.0,,2026-08-01T06:48:33.004031+00:00,320,320,
synthetic/TORN/TORN_synthetic_v1.0.0_0001.jpg,TORN,synthetic,v1.0.0,,2026-08-01T06:48:33.029090+00:00,320,320,
synthetic/TORN/TORN_synthetic_v1.0.0_0002.jpg,TORN,synthetic,v1.0.0,,2026-08-01T06:48:33.051303+00:00,320,320,
synthetic/TORN/TORN_synthetic_v1.0.0_0003.jpg,TORN,synthetic,v1.0.0,,2026-08-01T06:48:33.072803+00:00,320,320,
synthetic/TORN/TORN_synthetic_v1.0.0_0004.jpg,TORN,synthetic,v1.0.0,,2026-08-01T06:48:33.095078+00:00,320,320,
synthetic/OPENED/OPENED_synthetic_v1.0.0_0000.jpg,OPENED,synthetic,v1.0.0,,2026-08-01T06:48:33.117238+00:00,320,320,
synthetic/OPENED/OPENED_synthetic_v1.0.0_0001.jpg,OPENED,synthetic,v1.0.0,,2026-08-01T06:48:33.142009+00:00,320,320,
synthetic/OPENED/OPENED_synthetic_v1.0.0_0002.jpg,OPENED,synthetic,v1.0.0,,2026-08-01T06:48:33.167051+00:00,320,320,
synthetic/OPENED/OPENED_synthetic_v1.0.0_0003.jpg,OPENED,synthetic,v1.0.0,,2026-08-01T06:48:33.192066+00:00,320,320,
synthetic/OPENED/OPENED_synthetic_v1.0.0_0004.jpg,OPENED,synthetic,v1.0.0,,2026-08-01T06:48:33.214707+00:00,320,320,
synthetic/CRUSHED/CRUSHED_synthetic_v1.0.0_0000.jpg,CRUSHED,synthetic,v1.0.0,,2026-08-01T06:48:33.241066+00:00,320,320,
synthetic/CRUSHED/CRUSHED_synthetic_v1.0.0_0001.jpg,CRUSHED,synthetic,v1.0.0,,2026-08-01T06:48:33.266903+00:00,320,320,
synthetic/CRUSHED/CRUSHED_synthetic_v1.0.0_0002.jpg,CRUSHED,synthetic,v1.0.0,,2026-08-01T06:48:33.293161+00:00,320,320,
synthetic/CRUSHED/CRUSHED_synthetic_v1.0.0_0003.jpg,CRUSHED,synthetic,v1.0.0,,2026-08-01T06:48:33.319430+00:00,320,320,
synthetic/CRUSHED/CRUSHED_synthetic_v1.0.0_0004.jpg,CRUSHED,synthetic,v1.0.0,,2026-08-01T06:48:33.344771+00:00,320,320,
synthetic/TAPED/TAPED_synthetic_v1.0.0_0000.jpg,TAPED,synthetic,v1.0.0,,2026-08-01T06:48:33.368375+00:00,320,320,
synthetic/TAPED/TAPED_synthetic_v1.0.0_0001.jpg,TAPED,synthetic,v1.0.0,,2026-08-01T06:48:33.391326+00:00,320,320,
synthetic/TAPED/TAPED_synthetic_v1.0.0_0002.jpg,TAPED,synthetic,v1.0.0,,2026-08-01T06:48:33.417191+00:00,320,320,
synthetic/TAPED/TAPED_synthetic_v1.0.0_0003.jpg,TAPED,synthetic,v1.0.0,,2026-08-01T06:48:33.444590+00:00,320,320,
synthetic/TAPED/TAPED_synthetic_v1.0.0_0004.jpg,TAPED,synthetic,v1.0.0,,2026-08-01T06:48:33.467776+00:00,320,320,
synthetic/PARTIAL_DAMAGE/PARTIAL_DAMAGE_synthetic_v1.0.0_0000.jpg,PARTIAL_DAMAGE,synthetic,v1.0.0,,2026-08-01T06:48:33.493447+00:00,320,320,
synthetic/PARTIAL_DAMAGE/PARTIAL_DAMAGE_synthetic_v1.0.0_0001.jpg,PARTIAL_DAMAGE,synthetic,v1.0.0,,2026-08-01T06:48:33.519322+00:00,320,320,
synthetic/PARTIAL_DAMAGE/PARTIAL_DAMAGE_synthetic_v1.0.0_0002.jpg,PARTIAL_DAMAGE,synthetic,v1.0.0,,2026-08-01T06:48:33.542932+00:00,320,320,
